symbol,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,DividendDate,ExDividendDate,currentPrice,YOYPriceChange
MMM,2018-12-31,USD,6439000000,328000000,None,542000000,814000000,1488000000,1577000000,305000000,509000000,5363000000,222000000,-6701000000,-284000000,4870000000,4870000000,None,3193000000,3193000000,None,None,None,None,-4385000000,485000000,-200000000,-160000000,5349000000,36500000000,13709000000,13000000,393000000,4366000000,5020000000,23106000000,8738000000,16135000000,12708000000,2657000000,10051000000,575000000,107000000,380000000,349000000,1345000000,26652000000,7244000000,2266000000,617000000,1211000000,1194000000,21036000000,75000000,14156000000,17000000,13411000000,15350000000,2775000000,3010000000,9796000000,29626000000,40636000000,9000000,576575168,16083000000,32765000000,16682000000,16682000000,7207000000,7602000000,1253000000,8557000000,None,-350000000,70000000,350000000,33220000000,-207000000,None,249000000,6986000000,1637000000,350000000,5363000000,5508000000,7336000000,7585000000,Common Stock,3M Company,"The 3M Company is an American multinational conglomerate corporation operating in the fields of industry, worker safety, US health care, and consumer goods. The company produces over 60,000 products under several brands, including adhesives, abrasives, laminates, passive fire protection, personal protective equipment, window films, paint protection films, dental and orthodontic products, electrical and electronic connecting and insulating materials, medical products, car-care products, electronic circuits, healthcare software and optical films. It is based in Maplewood, a suburb of Saint Paul, Minnesota.",66740,NYSE,USD,USA,LIFE SCIENCES,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,"3M CENTER, BLDG. 220-13E-26A, ST PAUL, MN, US",December,2021-12-31,85956264000,9705000000,14.87,2.023,26.31,5.92,0.0415,10.12,61.06,0.168,0.22,0.103,0.423,35355001000,16579000000,10.12,-0.043,0.003,174.25,14.87,14.12,2.431,5.6,2.768,10.19,0.956,202.24,139.74,169.23,184.97,571100000,2022-03-12,2022-02-17,190.5400,-0.1904661
AOS,2018-12-31,USD,448900000,5200000,None,8800000,52300000,71900000,85200000,54600000,7700000,444200000,-12700000,-523100000,None,202600000,202600000,None,130100000,130100000,None,None,None,None,-202600000,None,-86900000,None,444200000,3071500000,1638500000,259700000,645000000,304700000,647300000,1433000000,540000000,556800000,806100000,293100000,513000000,385300000,None,385300000,41500000,86900000,1354500000,785300000,543800000,47000000,None,None,569200000,None,221400000,0,221400000,221400000,241500000,200700000,1717000000,827200000,2102800000,164500000,169265139,1305500000,3179500000,2657200000,1882400000,613400000,753800000,94000000,868800000,None,-8400000,None,8400000,3187900000,21200000,None,14300000,557800000,113600000,8400000,444200000,392900000,566200000,580500000,Common Stock,A. O. Smith Corporation,A. O. Smith Corporation is an American manufacturer of both residential and commercial water heaters and boilers and the largest manufacturer and marketer of water heaters in North America. It also supplies water treatment products in the Asian market.,91142,NYSE,USD,USA,MANUFACTURING,HOUSEHOLD APPLIANCES,"11270 WEST PARK PLACE, MILWAUKEE, WI, US",December,2021-12-31,10921154000,686800000,22.98,2.006,11.62,1.06,0.0161,3.02,22.13,0.138,0.172,0.115,0.265,3538900000,1310900000,3.02,0.182,0.193,82.78,22.98,20.04,3.086,6.12,3.05,15.25,1.163,86.42,58.87,78.31,73.04,131414000,2022-02-15,2022-01-28,42.7000,-0.3031984
ABT,2018-12-31,USD,6300000000,845000000,None,533000000,681000000,3278000000,1394000000,190000000,514000000,2368000000,-1356000000,-10391000000,-26000000,238000000,238000000,None,1974000000,1974000000,None,None,4009000000,None,33000000,None,-5447000000,None,2368000000,67173000000,14632000000,3844000000,4086000000,3796000000,5182000000,50775000000,7563000000,8143000000,42196000000,18942000000,23254000000,325000000,897000000,242000000,1568000000,17000000,36649000000,9012000000,2975000000,259000000,207000000,200000000,21399000000,None,19366000000,7000000,19359000000,19566000000,5830000000,3984000000,30524000000,9962000000,24560000000,23512000000,1760946000,15694000000,29557000000,24628000000,12706000000,3650000000,9744000000,2300000000,14222000000,105000000,-826000000,105000000,826000000,30383000000,139000000,1100000000,2178000000,2907000000,539000000,993000000,2334000000,1176000000,3733000000,5911000000,Common Stock,Abbott Laboratories,"Abbott Laboratories is an American multinational medical devices and health care company with headquarters in Abbott Park, Illinois, United States. The company was founded by Chicago physician Wallace Calvin Abbott in 1888 to formulate known drugs; today, it sells medical devices, diagnostics, branded generic medicines and nutritional products. It split off its research-based pharmaceuticals business into AbbVie in 2013.",1800,NYSE,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"100 ABBOTT PARK ROAD, ABBOTT PARK, IL, US",December,2021-12-31,215867605000,12756000000,31.07,2.19,20.3,1.82,0.0158,3.94,24.27,0.164,0.214,0.078,0.205,43074998000,25009000000,3.94,-0.075,0.072,143.72,31.07,24.15,5.01,6.0,4.997,20.02,0.742,142.1,104.19,130.01,123.59,1763480000,2022-05-16,2022-04-13,72.3300,0.2673909
ABBV,2018-12-31,USD,13427000000,1293000000,35000000,190000000,1316000000,1765000000,638000000,591000000,226000000,5687000000,-1006000000,-14396000000,3301000000,12014000000,12014000000,None,5580000000,5580000000,None,None,5963000000,None,-11941000000,None,-2014000000,-39000000,5687000000,59352000000,16945000000,7289000000,8061000000,1605000000,5872000000,42407000000,2883000000,5513000000,36896000000,21233000000,15663000000,None,1420000000,772000000,1895000000,1208000000,74183000000,17239000000,1546000000,None,5308000000,3699000000,49492000000,None,35002000000,1609000000,None,3699000000,10385000000,1307000000,-8446000000,24108000000,3368000000,18000000,1496000000,25035000000,32753000000,7718000000,7718000000,6383000000,7399000000,10753000000,24575000000,204000000,-1348000000,204000000,1348000000,32729000000,-18000000,471000000,1294000000,5197000000,-490000000,1348000000,5687000000,5934000000,6545000000,7839000000,Common Stock,AbbVie Inc,AbbVie is an American publicly traded biopharmaceutical company founded in 2013. It originated as a spin-off of Abbott Laboratories.,1551152,NYSE,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"1 NORTH WAUKEGAN ROAD, NORTH CHICAGO, IL, US",December,2021-12-31,264498856000,28050000000,23.18,1.279,8.71,5.31,0.0388,6.45,31.75,0.205,0.347,0.0822,0.809,56197001000,38883000000,6.45,248.9,0.074,149.75,23.18,10.2,4.707,18.79,5.75,21.02,0.798,150.36,97.51,137.55,120.24,1768750000,2022-05-16,2022-04-13,92.1900,-0.0467377
ABMD,2018-03-31,USD,192546000,4943000,None,8792000,35441000,11000000,55863000,15289000,15686000,112170000,-180762000,-9137000,None,None,None,None,None,None,None,None,None,None,11697000,None,3935000,1288000,112170000,786375000,494271000,42975000,362249000,50204000,70010000,329606000,117167000,27859000,52513000,16705000,35808000,391971000,37502000,319274000,11808000,14176000,96851000,84682000,23565000,14970000,None,None,12169000,None,None,None,None,None,46147000,776000,689524000,67078000,140457000,444000,44375337,495168000,593749000,98581000,98581000,157137000,262734000,75297000,338031000,3688000,None,3688000,None,593749000,-388000,11000000,11005000,160437000,48267000,None,112170000,128572000,157137000,168142000,Common Stock,Abiomed Inc,"Abiomed is a publicly-traded medical devices company that develops and manufactures external and implantable circulatory support devices. The company is headquartered in Danvers, Massachusetts and has three additional offices, two in Germany in the cities of Berlin and Aachen, and another in Tokyo, Japan.",815094,NASDAQ,USD,USA,LIFE SCIENCES,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,"22 CHERRY HILL DRIVE, DANVERS, MA, UNITED STATES",March,2021-12-31,14214708000,280839000,107.36,2.75,31.48,0,0,2.909,22.11,0.133,0.253,0.105,0.0988,1003148000,685615000,2.909,-0.259,0.127,365,107.36,-,14.17,9.48,12.87,45.77,1.359,379.3,261.27,315.15,324.88,45516200,None,None,290.9900,1.3242013
ACN,2018-08-31,USD,6026691000,1392917000,None,1027710000,1126906000,926776000,619187000,710804000,None,4119531000,-1249604000,-3709028000,None,2639094000,2639094000,None,1708724000,1708724000,None,None,None,None,-1885948000,None,934500000,-133559000,4059907000,24449083000,13585559000,5061360000,5064552000,None,4996454000,10863524000,1264020000,1862098000,6070122000,687110000,5383012000,23599000,215532000,3192000,1024639000,1185993000,14084330000,10151751000,1348802000,3455806000,5337000,25013000,3572744000,None,0,5337000,None,25013000,892873000,441723000,10364753000,2116948000,7952413000,72000,640575241,12493364000,40992534000,28499170000,29160515000,5898779000,6601872000,790779000,7562838000,56337000,-19539000,56337000,19539000,142295000,-127484000,423471000,170187000,5653406000,1593499000,19539000,4214594000,3578520000,5672945000,5843132000,Common Stock,Accenture plc,"Accenture plc is an Irish-domiciled multinational company that provides consulting and processing services. It has been incorporated in Dublin, Ireland since 2009.",1467373,NYSE,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","1 GRAND CANAL SQUARE, GRAND CANAL HARBOUR, DUBLIN, IE",August,2021-11-30,203826659000,9030121000,33.55,2.544,32.2,3.7,0.0123,9.61,84.72,0.115,0.152,0.125,0.32,53736358000,16364128000,9.61,0.197,0.272,380.96,33.55,30.49,3.793,9.97,3.737,19.75,1.214,416.29,241.65,362.18,335.15,632001000,2022-02-15,2022-01-12,169.0700,0.2929795
ATVI,2017-12-31,USD,1790000000,150000000,None,-761000000,170000000,515000000,131000000,114000000,5000000,1813000000,-230000000,-2020000000,None,None,None,None,259000000,259000000,None,None,0,None,99000000,None,-491000000,-31000000,273000000,18668000000,6520000000,4713000000,4713000000,46000000,918000000,11603000000,294000000,685000000,10869000000,1106000000,9763000000,None,None,55000000,843000000,440000000,9206000000,3663000000,323000000,1929000000,None,4390000000,5995000000,None,4390000000,4390000000,4390000000,4390000000,1411000000,1132000000,9462000000,5563000000,4916000000,0,757000000,4516000000,7017000000,2501000000,33000000,1309000000,2138000000,1069000000,4095000000,None,-150000000,None,150000000,-12000000,-146000000,130000000,888000000,1151000000,878000000,162000000,273000000,264000000,1309000000,2189000000,Common Stock,Activision Blizzard Inc,"Activision Blizzard, Inc. is an American video game holding company based in Santa Monica, California. Activision Blizzard currently includes five business units: Activision Publishing, Blizzard Entertainment, King, Major League Gaming, and Activision Blizzard Studios.",718877,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"3100 OCEAN PARK BLVD, SANTA MONICA, CA, US",December,2021-12-31,63446405000,3452000000,23.67,6.02,22.59,0.47,0.0058,3.44,11.33,0.307,0.379,0.0866,0.165,8803000000,6486000000,3.44,0.106,-0.103,94.34,23.67,22.27,7.21,3.588,6.4,14.92,0.579,99.46,56.4,73.11,79.37,779057000,2022-05-06,2022-04-13,63.3200,0.7535309
ADM,2018-12-31,USD,-4784000000,376000000,None,-574000000,6882000000,941000000,842000000,8214000000,-226000000,1815000000,6582000000,187000000,-743000000,77000000,77000000,None,758000000,758000000,None,None,1762000000,None,0,None,1985000000,None,1810000000,44341000000,22011000000,1203000000,1203000000,7626000000,2583000000,23430000000,9833000000,16066000000,5212000000,None,None,6304000000,5239000000,None,5554000000,2046000000,31386000000,12809000000,2897000000,286000000,541000000,531000000,12136000000,None,None,10000000,8632000000,531000000,3531000000,2157000000,19293000000,None,19293000000,2705000000,None,4181000000,64341000000,60160000000,60160000000,1575000000,2165000000,141000000,2606000000,162000000,-364000000,162000000,364000000,-53000000,-101000000,812000000,129000000,2055000000,245000000,364000000,1815000000,1341000000,2419000000,2548000000,Common Stock,Archer-Daniels-Midland Company,"The Archer-Daniels-Midland Company, commonly known as ADM, is an American multinational food processing and commodities trading corporation founded in 1902 and headquartered in Chicago, Illinois. The company operates more than 270 plants and 420 crop procurement facilities worldwide, where cereal grains and oilseeds are processed into products used in food, beverage, nutraceutical, industrial, and animal feed markets worldwide.",7084,NYSE,USD,USA,MANUFACTURING,FATS & OILS,"77 W. WACKER DR., CHICAGO, IL, US",December,2021-12-31,44354974000,3934000000,16.47,21.72,40.14,1.48,0.0211,4.79,151.15,0.0318,0.0345,0.0347,0.128,85248999000,5987000000,4.79,0.131,0.284,73.23,16.47,14.56,0.52,1.906,0.605,11.27,0.809,79.06,53.73,71.29,64.83,562167000,2021-09-08,2022-02-07,40.9700,0.0222056
ADBE,2018-11-30,USD,4029000000,81258000,None,577941000,79208000,346000000,266579000,2000000,None,2590774000,-4685000000,-5000000,None,2050000000,2050000000,None,None,None,None,None,None,None,-1859010000,191000000,-663297000,-2000000,2591000000,18768682000,4857039000,1643000000,3228962000,None,1315578000,13911643000,1075072000,1405836000,12650049000,2069001000,10581000000,612104000,None,1586187000,312499000,186522000,9406568000,4301126000,186258000,None,0,None,4921110000,None,4124800000,None,None,4124800000,1198894000,152209000,9362000000,7990751000,11815597000,61000,487663000,7835000000,9030000000,1195000000,91300000,2840000000,3365727000,1537812000,4995000000,92540000,-89242000,-242000,89000000,-42612000,39536000,None,339700000,2794000000,203000000,89242000,2590774000,2555000000,2883000000,3222700000,Common Stock,Adobe Inc,"Adobe Inc. is an American multinational computer software company. Incorporated in Delaware and headquartered in San Jose, California, it has historically specialized in software for the creation and publication of a wide range of content, including graphics, photography, illustration, animation, multimedia, motion pictures and print. The company has expanded into digital marketing management software. Adobe has millions of users worldwide. Flagship products include: Photoshop image editing software, Adobe Illustrator vector-based illustration software, Adobe Acrobat Reader and the Portable Document Format (PDF), plus a host of tools primarily for audio-visual content creation, editing and publishing.",796343,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"345 PARK AVE, SAN JOSE, CA, US",November,2021-11-30,219896889000,6378000000,46.46,1.723,31.15,0,0,10.02,33.07,0.305,0.368,0.141,0.344,15785000000,13920000000,10.02,-0.447,0.2,653.93,46.46,31.85,13.93,14.13,13.17,31.47,1.014,699.54,416.81,522.42,586.6,472348000,None,2005-03-24,250.8900,0.3825426
AAP,2018-12-31,USD,811028000,66071000,None,379433000,227596000,238184000,206703000,21471000,206125000,423847000,-191827000,-263915000,32014000,281354000,281354000,None,17819000,17819000,None,3200000,None,None,-278154000,None,349590000,-5696000,423847000,9040648000,6082454000,896527000,896527000,4362547000,624972000,2958194000,1368985000,1918502000,1540830000,550593000,990237000,0,0,None,198408000,48379000,5489835000,3885950000,3172790000,None,210000,210000,1297732000,None,1074210000,210000,1045720000,1045930000,90019000,239812000,3550813000,425954000,3326155000,8000,72460000,4219413000,9575554000,9062246000,5361141000,604275000,3615138000,None,3701105000,None,-56588000,-61588000,56588000,9575554000,7577000,201600000,40700000,555264000,131417000,0,423847000,404608000,604275000,644975000,Common Stock,Advance Auto Parts Inc,"Advance Auto Parts, Inc. (Advance) is an American automotive aftermarket parts provider. Headquartered in Raleigh, North Carolina, it serves both professional installer and do-it-yourself (DIY) customers.",1158449,NYSE,USD,USA,TRADE & SERVICES,RETAIL-AUTO & HOME SUPPLY STORES,"2635 EAST MILLBROOK ROAD, RALEIGH, NC, US",December,2021-12-31,12559834000,1161460000,21.53,1.109,50.89,3.25,0.0292,9.55,171.77,0.056,0.082,0.0469,0.184,10997989000,4931356000,9.55,-0.207,0.013,257.59,21.53,17.04,1.142,4.273,1.467,14.62,1.252,244.55,158.71,230.31,216.55,61098000,2022-04-01,2022-03-17,157.4600,0.5794964
AMD,2018-12-31,USD,34000000,79000000,None,207000000,1036000000,170000000,163000000,806000000,151000000,337000000,-170000000,28000000,0,None,None,None,None,None,None,0,0,None,70000000,None,-108000000,None,337000000,4556000000,3540000000,1078000000,1156000000,845000000,1235000000,1016000000,348000000,707000000,289000000,226000000,289000000,136000000,58000000,78000000,195000000,321000000,3290000000,1984000000,834000000,22000000,136000000,136000000,1317000000,None,1250000000,136000000,1114000000,1250000000,24000000,192000000,1266000000,50000000,-7436000000,10000000,1005000000,2447000000,6481000000,4635000000,4028000000,451000000,562000000,1434000000,2068000000,None,18000000,139000000,121000000,6463000000,0,94000000,170000000,328000000,-9000000,121000000,337000000,325000000,449000000,619000000,Common Stock,Advanced Micro Devices Inc,"Advanced Micro Devices, Inc. (AMD) is an American multinational semiconductor company based in Santa Clara, California, that develops computer processors and related technologies for business and consumer markets. AMD's main products include microprocessors, motherboard chipsets, embedded processors and graphics processors for servers, workstations, personal computers and embedded system applications.",2488,NASDAQ,USD,USA,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,"2485 AUGUSTINE DRIVE, SANTA CLARA, CA, US",December,2021-12-31,197008196000,4055000000,47.11,1.49,6.21,0,0,2.57,13.55,0.192,0.222,0.213,0.474,16434000000,7929000000,2.57,-0.454,0.488,153.59,47.11,28.09,11.99,24.71,11.09,43.76,1.95,164.46,72.5,128.78,112.69,1627360000,None,1995-04-27,18.4600,0.7957198
AES,2017-12-31,USD,2504000000,1196000000,None,274000000,393000000,1039000000,2177000000,177000000,28000000,-777000000,-2599000000,43000000,414000000,0,0,None,317000000,317000000,None,None,None,None,-351000000,None,-295000000,8000000,-1161000000,33112000000,6398000000,949000000,1373000000,562000000,1610000000,25628000000,20296000000,7942000000,1425000000,366000000,1059000000,1545000000,1197000000,424000000,3000000000,1741000000,30647000000,6028000000,1371000000,None,None,2164000000,21402000000,None,394000000,2164000000,None,394000000,2493000000,2595000000,2465000000,1892000000,-2276000000,8000000,660388128,2465000000,10530000000,8065000000,8065000000,417000000,215000000,None,1990000000,244000000,-1170000000,244000000,1170000000,-78000000,0,1005000000,1169000000,-171000000,990000000,1238000000,-507000000,-248000000,999000000,2168000000,Common Stock,The AES Corporation,"The AES Corporation is a Fortune 500 company that generates and distributes electrical power. AES is headquartered in Arlington, Virginia.",874761,NYSE,USD,USA,ENERGY & TRANSPORTATION,COGENERATION SERVICES & SMALL POWER PRODUCERS,"4300 WILSON BOULEVARD, ARLINGTON, VA, US",December,2021-12-31,14074332000,3601000000,None,1.684,2.959,0,0.0302,-0.61,16.62,-0.0367,0.228,0.0471,-0.204,11141000000,2711000000,-0.61,-0.057,0.082,29.35,-,12.89,1.263,5.81,3.078,10.96,0.861,28.15,19.76,22.78,24.17,666714000,2022-02-15,2022-01-31,10.8300,-0.0679862
AFL,2018-12-31,USD,6014000000,181000000,None,2407000000,55000000,1294000000,None,55000000,None,2920000000,-3582000000,-1616000000,None,1301000000,1301000000,None,793000000,793000000,None,None,1020000000,None,-1195000000,58000000,846000000,30000000,2920000000,140406000000,5324000000,4337000000,5324000000,None,None,443000000,443000000,581000000,9875000000,9875000000,None,122323000000,773000000,987000000,-851000000,-61469000000,116944000000,523000000,None,None,None,5778000000,5765000000,13000000,11591000000,None,None,11591000000,111179000000,107146000000,23462000000,12789000000,31788000000,135000000,755286000,-6549000000,21758000000,28307000000,14565000000,4354000000,2988000000,None,4357000000,-148000000,-222000000,-222000000,222000000,18453000000,-74000000,48000000,49000000,3983000000,1063000000,222000000,2920000000,817000000,4205000000,4254000000,Common Stock,Aflac Incorporated,Aflac Inc. (American Family Life Assurance Company) is an American insurance company and is the largest provider of supplemental insurance in the United States.,4977,NYSE,USD,USA,FINANCE,ACCIDENT & HEALTH INSURANCE,"1932 WYNNTON RD, COLUMBUS, GA, US",December,2021-12-31,40258888000,5601000000,9.69,0.93,50.99,1.32,0.0268,6.39,32.82,0.196,0.252,0.0215,0.13,22105999000,9104000000,6.39,0.161,-0.081,62.92,9.69,12.02,1.821,1.239,1.948,-,0.93,66.55,46.59,61.52,56.76,649861000,2022-03-01,2022-02-15,45.5600,-0.4809752
A,2018-10-31,USD,1087000000,182000000,None,71000000,148000000,210000000,177000000,65000000,83000000,316000000,-705000000,-797000000,-210000000,422000000,422000000,None,191000000,191000000,None,None,None,None,-366000000,None,-431000000,-17000000,316000000,8558000000,3865000000,2247000000,2247000000,628000000,None,4693000000,822000000,None,3464000000,491000000,2973000000,None,75000000,None,190000000,332000000,3961000000,1160000000,340000000,313000000,None,None,2799000000,None,1799000000,None,1799000000,1799000000,203000000,763000000,4593000000,None,-336000000,3000000,325000000,1076000000,4836000000,3760000000,2234000000,904000000,1389000000,387000000,1918000000,38000000,-75000000,38000000,75000000,4911000000,79000000,102000000,110000000,946000000,630000000,75000000,316000000,254000000,904000000,1131000000,Common Stock,Agilent Technologies Inc,"Agilent Technologies, Inc. is an American analytical instrumentation development and manufacturing company that offers its products and services to markets worldwide. Its global headquarters is located in Santa Clara, California.",1090872,NYSE,USD,USA,LIFE SCIENCES,INSTRUMENTS FOR MEAS & TESTING OF ELECTRICITY & ELEC SIGNALS,"5301 STEVENS CREEK BLVD, SANTA CLARA, CA, US",October,2022-01-31,40167944000,1779000000,33.93,2.61,17.18,0.792,0.0066,3.941,21.29,0.187,0.225,0.0908,0.242,6445000000,3407000000,3.941,0,0.081,173.35,33.93,26.95,6.23,7.27,6.26,22.71,1.043,179.11,111.87,144.13,151.88,300366000,2022-04-27,2022-04-04,64.7900,-0.047626
APD,2018-09-30,USD,4990900000,123100000,182700000,-277700000,-114000000,970700000,1568400000,-178200000,64200000,1532900000,-1630500000,-1359800000,-78500000,None,None,None,897800000,897800000,None,None,500000,None,76200000,None,-482300000,-33900000,1497800000,19178300000,5082200000,2791300000,2976000000,396100000,1207200000,14096100000,9923700000,11566500000,1227400000,438500000,788900000,2528700000,1277200000,184700000,373300000,654500000,8002000000,2338300000,594600000,None,460900000,54300000,5663700000,None,3758300000,406600000,None,3812600000,205400000,1536900000,10857500000,2089200000,13409900000,249400000,220000000,2740700000,8930200000,6189500000,6189500000,1965600000,760800000,64500000,940900000,None,-130500000,46300000,130500000,-3900000,5100000,940700000,30000000,2022100000,524300000,130500000,1455600000,1603300000,2152600000,2182600000,Common Stock,Air Products and Chemicals Inc,"Air Products and Chemicals, Inc. is an American international corporation whose principal business is selling gases and chemicals for industrial uses. Air Products' headquarters is in Allentown, Pennsylvania.",2969,NYSE,USD,USA,LIFE SCIENCES,INDUSTRIAL INORGANIC CHEMICALS,"7201 HAMILTON BLVD, ALLENTOWN, PA, US",September,2021-12-31,53296333000,3657100000,24.55,1.298,62.35,6,0.0276,9.79,49.35,0.199,0.213,0.0547,0.154,10942000000,3136900000,9.79,0.163,0.261,312.05,24.55,23.53,4.871,3.881,5.24,14.17,0.831,314.83,228.44,280.08,285.02,221717000,2022-05-09,2022-03-31,167.0500,0.1046819
AKAM,2017-12-31,USD,800983000,9110000,6750000,50752000,86136000,372313000,414778000,63825000,None,218321000,-459165000,-365005000,None,361194000,361194000,None,None,None,None,None,None,0,-305514000,None,-10787000,12990000,222766000,4648916000,1346246000,313382000,711936000,None,459127000,3802616000,862535000,1484447000,1699947000,201259000,1498688000,958267000,567592000,398554000,29302000,136365000,1286447000,456694000,80278000,84544000,None,662913000,946541000,None,635826000,662913000,697000000,635826000,22178000,142955000,3362469000,0,-742408000,1699000,169893324,1627159000,2502996000,875837000,875758000,314289000,1002797000,222434000,1316519000,17855000,-18839000,17855000,18839000,3600000,887000,341400000,30904000,314192000,91426000,18839000,218321000,258511000,333031000,363935000,Common Stock,Akamai Technologies Inc,"Akamai Technologies, Inc. is a global content delivery network (CDN), cybersecurity, and cloud service company, providing web and Internet security services.",1086222,NASDAQ,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","145 BROADWAY, CAMBRIDGE, MA, US",December,2021-12-31,16958130000,1161175000,26.8,0.917,28.14,0,0,3.93,21.28,0.188,0.233,0.0635,0.148,3461223000,2192267000,3.93,0.425,0.07,135.13,26.8,16.92,4.899,3.57,5.19,13.29,0.54,120.68,92.64,112.71,112.56,161000000,None,None,65.0400,-0.0245951
ALK,2018-12-31,USD,1195000000,72000000,None,52000000,-121000000,398000000,1065000000,25000000,None,437000000,-631000000,-647000000,None,50000000,50000000,None,158000000,158000000,None,None,None,None,-50000000,None,-83000000,None,437000000,10912000000,1787000000,105000000,1236000000,60000000,366000000,9125000000,6781000000,3242000000,2070000000,127000000,1943000000,1131000000,7000000,1131000000,125000000,274000000,7161000000,2942000000,132000000,1874000000,486000000,5000000,2602000000,None,2103000000,486000000,1617000000,2108000000,831000000,418000000,3751000000,568000000,4534000000,1000000,123194430,2030000000,8264000000,6234000000,2750000000,643000000,1207000000,None,7621000000,38000000,-91000000,38000000,91000000,None,-23000000,None,398000000,585000000,148000000,91000000,437000000,431000000,676000000,1056000000,Common Stock,Alaska Air Group Inc,"Alaska Air Group is an airline holding company based in SeaTac, Washington, United States.",766421,NYSE,USD,USA,ENERGY & TRANSPORTATION,"AIR TRANSPORTATION, SCHEDULED","19300 INTERNATIONAL BOULEVARD, SEATTLE, WA, US",December,2021-12-31,7248754000,137000000,15.27,1.3,30.19,0,0,3.77,49.38,0.0774,-0.0416,-0.0115,0.141,6176000000,939000000,3.77,0.486,1.35,72.92,15.27,13.83,1.174,1.948,1.356,7.34,1.546,74.25,46.26,54.39,57.59,125912000,2020-03-05,2020-02-14,60.8500,-0.1722215
